text,label
yall both gimped up?? am not tht bitch huh lol,1
rt just learned there 1932 japanese political plot assassinate charlie chaplin. ..,2
fuck yes triple xp nigguh,1
lets not forget fact everyone their mother yellow fever,2
rt ann coulter admits fox news america negro problem.,0
those little faggots usually have bags over their heads anyway. makes bullet placement interesting thru scope.,0
fags,0
"rt if feel gotta party every weekend entertainment, ima just assume embrace partaking hoelike activities",1
wish coulda said more tonight. good seeing fag.,0
sinai jihadi group beheads 3 accused being spies jews via,2
knock em down wit sum chunky,2
lmao nigga yo avi so trash phone not even load shit,1
mayweather pussy hes only winning cus picks his fight picks nobody fighters .,0
rt know trash,2
rt yanks walk off win,2
dawg!! rt man this about another trash thursday night game,2
"can guarantee few things white. have never been anywhere near real ghetto. you, relative pig. 100",0
rt mfs still same spot 3yrs ago. beefing same nighas. sleeping same hoes. eating same restau,0
do not get mf attitude bitch. am not about justify shit.,1
she bitch anyway,1
rt justin bieber win oscar suck balls dead dog midget dick son bitch,1
like really want rafter monkey,2
george rockwell 2 3 speech lynchberg armo proud say uncle kelly this speech 63.,2
hoe do not make put up screenshots your texts hoe,0
mike calls tbird,2
julie tell them crybaby blacks get someone blk. dress them up white faced..niggers always whining!,0
rt came training camp today find charlie batch asleep curb..,2
apparently im honky. pfft. like bad thing.,2
baby guinea pig so cute,2
ok chill love bird lol,2
"rt once get cold beer hand there am not no mistakin who am, cannot hide redneck side",2
grandma used call porch monkey all time.. come think she did refer broken bottle nigger knife,0
anniversary 911 amp al qaeda supporters each claim ben laden their own show their jihadi authenticity,2
"rt sonia never criticises . kejriwal, who trashes every other leader, never criticises sonia. touching.",2
"rt juan likes black girls monday wednesday, spanish girls thursday amp friday, amp white bitches weekend tbb",1
"celtic means white trash. if someone says they celtic, means they white trash.",0
cannot homeless 2014.. but them bitches better not slip 2015,1
rt all kate uptons leaked nudes today amp more bitch lo,2
rt if open beer do not finish what known little bitch,1
im afraid commitment hoe,1
faggot,0
hope gezus gets shot his faggot head,0
people who live unwashed trash.,0
..honestly. where am most retarded why stuck artist hoping fair dealermanager situation..,2
town . movie friends. stabbed nig 3 times got sent prison. justice?,0
"look this coon ass nigga here.. standing damn toilet, looking around his manhood..",0
rt am not nothin cut bitch off ayee,1
"omg! do not even know where kimlau sq is..i would been like,look bird! then ran hills! lol",2
u look like fat kid charlie walker got stuck chocolate tube.,2
"rt somebody tell these broke bitches , stay they place stand?",1
am jus tryna vaca away niggers bro.,0
foto imapython bieg albino sea turtle think u mean soul ocean,2
fucking faggot,0
guess ill just trash this drawing because roster changes..,2
"rt girls, do not let guy treat like yellow starburst. pink starburst.",2
they working bill prevent retards voting. who knew retards could vote? things starting make sense now.,0
blow up pussy like hussein. bitch look crazy like who sane?,1
totally does. smells like brownies every day walk work.,2
chargers raiders both trash,2
am not no love ghetto,2
rt hick accent comes out when get around family,2
see da dayd presidents coz bitches hoes makin money day way,1
yall hoes really get mad cause nigga do not want cha,0
overdosing heavy drugs does not sound bad tonight. do pussy shit every day.,2
"rt not all men interrupt women quibble over irrelevant issues sole purpose derailing conversation, sa",2
never have seen toddler chug water bottle so fast lol,2
stfu prude ass basic ass bitch,1
cannot beat score 12 flappy bird,2
if say anything about knock ur boyfriend out. go bitch. your boyfriend pubeless runt.,1
gay ass fags,0
who takes mid best midlaner na?? fuckin solo q fags.,0
naughty mature av model her sweet pussy spread hugedick,1
"rt if your pussy book , would read up",1
power bomb dat hoe,1
just want some oreos amp milk honestly. just stop store amp pick up some your way back lol,2
teacher always says man ever abused his wife while using marijuana? not unless she hides oreo cookies then she deserves it.,2
some niggas save hoes,0
rt gabbys bitch amp made jackie make tea packet first.,1
rt lol got these hoes they feelings !,1
rt charlie rangel things believe spiritual damn things,2
not one single bone body gives fuck about what next bitch thinks.,1
did say wayne chung bitch ?,1
gabbys bitch two accounts,0
umm how about they home raising kids? retarded.,1
rt mustwatch bill maher schools pbs host charlie rose over islams illiberal beliefs,2
inferred tried ho nam. did not. dodged it. no great leader.,2
"do not forget nappy headed, butt ugly bitch, who married muslim",0
did not make any games last season. just looked up. astros open up yankees 1st april,2
"celtic means white trash. if someone says they celtic, means they white trash.",0
there not green one either. there red yellow pic..,2
haha bitch ass gucci,1
googles bitch your search ann b. davis sexy did not match any image results.,1
all niggers,0
",, hardcore british queer anal pounding",1
rt fingering n eating pussy same time good,1
watching nigger movie menace2society. trying learn more about enemy. good reconnaissance.,0
these bitches am not trusted..,1
"rt nomatter how much am feeling you, u cannot compete girls who throw pussy. im just gonna always take l",1
such faggot,0
did good job doing not texting back faggot,0
trash,2
"yea, looks faglike",1
black bitches do not kickin up our school. bitches still comin wit durags still they head nd shit.,0
rt who gave this bitch much confidence?,1
happy cuz woke up white not nigger!,0
happy birthday bitch. had tow botch ass car.. love cuz,1
shoot nigga his shorty bitch,0
kinda want spit gum into some bitches hair.,1
yay im whitey 3,2
rt why would u let ur girl even go party without u thats retarded lol u must want get cheated,2
yall coons n uncle toms,0
two need stop acting like two little bitches.,1
cut deses bitches off like hibachi,1
"agree. never know she may have been begging get dropped, makes her pussy wet guaranteed. she married him right after !",1
rt if u dont want your heart broken then dont check nigga who entertains hoes,0
rt when make paper ball into trash can,2
just want baddest bitch world right here lap,1
rt this nigger tattoo show horrible,0
fuck u nigger,0
rt just cause liked photo 32 weeks ago do not mean am stalking bitch just do not look good used,1
"rt alls niggers wanna do fuck, tweet, drink pineapple soda all day",0
because ians retarded,0
this ghetto motherfuckers missy elliott,1
u see lame pic ofmine due your infatuation niggers. im hebrew fite children satan streets,0
nah some honkey lookin dude chr,2
"detroit lions, bitch",1
fag.,0
say smash panomera buy new one hoe,1
"rt breaking louisville coach charlie strong expected accept texas job, according espn amp media reports",2
fucking coon,0
least have boyfriend dumb bitch,1
",, paki",2
"not no but hell no, when blk. stop sayin nigger will, what they can have can have. this america",0
what so good about prom? all see another faggot ass high school dance.,0
can u say hoe hoe hoe? eww she nasty. so mean her daily. spare details lol.,1
fag,0
well wish could shoot shit wit u bitches but daddy gotta get dis money .one,1
"hung all dudes not fuckin no bitches, so.",1
if world free sucka free would just nigs left,1
"peace fags, just remember am best lux support na. drop lustboy pick kakao up tsm.",0
"cannot wait till get full appetite back. only ate half ghetto sandwich. no lettuce, no nothing.",2
just need yankees win pennant!,2
right.. around nig..,0
want some monkey bread,2
how feel when am throwing trash away.. everyday school.,2
rt stfu hoe rt am proud african american proud african american am proud white racist,0
shoot nigga his shorty bitch .,0
"like good weed, like bad bitches can roll it..",1
ur fag,0
swear god some hoes look like they take same exact picture everytime. change up once godamn.,1
cmon! need yellow wilson!,2
rt lmfao rt alcohol,2
what fucking faggot,0
"rt if know girlfriend do not little bitch, respect move on.",1
weekend here. what amazing week this been. let us use this extended weekend celebrate our successes fellow queer folk.,2
sho do miss uncle tom,2
your low info redneck dumbasses vote these corporate shills idiots like believe,0
small man syndrome usually deep down they huge pussies so they join authority compensate their weak ego,1
am just living nig..,1
wasp eggs,2
rt only fuck niggas would wanna continue mess these messy ass bitches vs. somebody who been down them all,0
am tired dat bitch mann,1
how much wanna bet antigovernment black helicopter teabagger behind boston marathon explosions?,2
rt green azz niggas!! amp yall new bitches condone dat sucka activity dat why they keep doin it!!,0
really too bad had faggot marriage forced upon her after her citizens declared illegal.,0
"indirect ass little bitches, like know fucking number where live.",1
rt charlie sheen man lol,2
johnny rebel quit your bitchin nigger!,0
rt jordan wearing bitches need grow tf up,1
"o u unfollowed so cannot dm u, so say here, rude cunt lmao can dm",0
might need get some hoes,1
rt no am not no bitch amp no am not no snitch!,1
hoes thinkin they bad even if they tell her bitch calm down u average,1
rt if claim macklemore your favorite rapper am also assuming watch wnba your free time faggot,0
"rt what really want some brownies hampr, iced latte, boy, blanket w movies. sounds pretty amazi",2
back up faggot,0
u stupid bitch,1
"rt ballgame over, win! yanks beat white sox 10 innings, 43.",2
everybody mocks obama .hes embarrassment usa.,2
"congratulations, officially fucking retarded.",0
bitch can get to.,1
rt really need take rose colored glasses off though. gotta stop thinking everybody does shit good intentions,2
looking back liked colored better. let us go back,2
rt got niggas amp got bitches but want you..,0
"rt fucked up when bitch fw , down talk you.. then hoes they claim they do not fw funny.",1
rt anything below disown ling ling,2
"almost got see white boy get beat around today, but ran like bitch.",0
think this nigga retarded g,0
jiggaboo..!,0
diversity chcgo blck pstr flooded w dth threats ovr endorsement gop candidate u sellout uncle tom ass ngger,0
smh rt tyga shoulda knew blacc chyna hoe when his son crip walked out her pussy.,0
am just upset they got faggots this show,0
"thanks charlie, have great evening",2
thats right niggah netherlands!!,1
see jig,2
rt hoe if leaving mans house right now costume,1
hoes austin teach us austin.i teach u how get curved? all know,2
"all these ciara songs old bitches , they like 2 weeks ago lml,",1
kill coons!!,0
ff been consistently one marvels worst properties. ultimate ff good but entire ultimate universe now trash.,2
rt niggas bitches getting exposed,1
paul mccartney faggot,0
welcome back b.. without your daily rants tl trash af,2
rt birds.,2
"accept your flaws imperfections because what makes you, you! see am fuck, small dick faggot parents who do not love me.",0
entire pats bandwagon. theyre faggots,0
amos 510 there those who hate one who upholds justice court detest one who tells truth.,2
rt fact all yall hoes gettin pregnant wit no ring ya finger,1
hey hun!,2
thank jackass zebras,2
oh shut up faggot get disease overused twitter,0
people who live unwashed trash.,0
rt everybody tryna fuck next nigga bitch not knowin his bitch next nigga bitch,0
not ghetto. sweet movie quote. try again,2
get off twitter fag,1
bitch bad like brittany but wish had brittany,1
lbum de fotos csitaly ts3fairy tail satan soul mirajane strauss made sims 3. happy..,2
joe cortez ultimate faggot fight proved,0
am stretch pussy out,1
talked some birds.. fell love again..,2
this nigga .. know damn well coon,0
shutup thirsty hoe,1
rt keys open doors when them keys albino,2
uhh bitch,1
would pretty cool if got see 1 more time before go back hillbilly town! ..,2
pats owner kike.,0
eat dick bitch,1
rt kik group once. but called party line old charlie barber always hogging calls.,2
"have never seen such ignorant, illiterate pieces shit life. bring natl guard amp disperse this trash.",0
ya know all slang am racist h8 porch monkies,0
rt u cannot turn hoe into housewife hashtag tupac,1
she thinking she throwing pussy back so good all she doing throwing ya nut process off,1
"really only like like 3 people this town, everyone else faggot",1
best luck tino bambino martinez miami your legacy saved lol,2
rt oreo frappuccino,2
jets trash,2
"rt finally! warner bros. making superhero films starring woman, person color actor who identifies queer",2
rt go talk all your other hoes,1
rt if like after romeo chances think faggot.,0
given rickety slant roof would say more like pizza shanty,2
really do not pressed bitches social media.. do talk them? yes. do want them..,1
first all type bitch,1
rt person below did not get big booty hoe.,1
republican teabaggers hate this but screw em.,2
"rt if woman cares about shell get mad over little things. if cannot handle that, deserve hoe.",1
rt when your boys discover hoe,1
if nigga watching love hiphop instead playoffs gay denna bitch,1
poor whitey,0
produced yung bouta drop dis hoe,1
she sucks..bitch cant even pretend dance.,1
claim boss but lil broke bitch,1
rt rt if crabtree woulda caught over sherman game yall woulda said sherman trash amp got what,2
"hate yankees though, right? feel like am really good hating them.",0
rt sometimes wanna upper cut this bitch but do not know if shes special ed not,0
should hang out ovenjew. have lot common. people waste time nigs. jews r r problem.,0
rt call martin baker uncle tom uppity because not siding majority pure ignorance..,2
"rt sweet treat lunch today raspberry gelato, ginjuice sorbet amp brownie gelato! thursday cannot wait ..",2
little girl tom sawyer gets trapped cave along injun joe almost die. injun joe dies they find his treasure,2
lol caitlyn.. cannot carry 3 retards,1
your bitch frontin you! bitch stuntin me!,1
"rt when charlie crist said rick scott, just too shady sunshine state",2
making weed brownies tonight goin slide batch relo,2
"not all straight men am frustrated. unlike okcupid, queer folks dont have ability block..",0
rt googled her number found she hoe,1
watching richie rich! tv..even wanted kick ghetto kids.. shows yuh how much money aint thang!..,2
leo get fuck off vine fag,0
fuck lame nigga than lame bitch,0
rt today did hair makeup.. always tries make look like monkey.,2
"just spoke w legend, mentor charlie ericksen. great catch up w those who helped open doors latino journos",2
thing made feel old today tori amos 50.,2
"not bad, though drawing conclusions about white america based 1,00 person poll slippery slope.",2
coming rescue some retard licking dirty skidmarks internet.. guys fucktards,0
elizabeth a.stupid hoe.,0
these niggas retarded.. lmfaoo,0
"damn you, whitey! get kick out newest form white privilege",0
gotta give de blasio credit. man his word. nypd cannot arrest niggas weed anymore hahahaha fuuck yoouu bitch,1
town . movie friends. stabbed nig 3 times got sent prison. justice?,0
many people claiming slippery slope now absolute same ones who said slippery slope argument paranoid delusional.,2
great thought panic bird flu bad. really am not got time that.,2
shes cunt,0
walmart tees count designer? rt these niggas hoes designer clothes,1
"rt art thou bird whom man loves bestthe pious bird t scarlet breast, our robinthat leaves these summer winds sobbing",2
next time u gone call darky nicca..call dat coon jungle bunny p.s. i..,0
am sure would add this helpful parenthetical explanation if these were redneck peckerwood teabaggers.,0
this weeks rfn segment can. discuss idaho being faggot marriage state just like washington.,0
think most rpgs birds. am not no bird brain yo,2
who remembers when were middle schoolhigh school would throw paper trash our seat yell kobe! lmfaoo,2
ahah chill bitch look better,1
mayweather pussy hes only winning cus picks his fight picks nobody fighters .,0
rt hehe hoe quotes,1
like nigga yous real mark ass bitch lol,1
"white kids, black kids, yellow kids hell even purple kids, if carry yourselves like daniel go far.",2
probs fag vhia,0
trash?,2
rt well maybe whore stupid ugly homeless bitch,0
watching colts getting blinded steelers uniys look like bunch bumblebees,2
"rt chicks wait til their hair all broken down go natural their 30s, but bitch about young carters fro birth",1
rt like how found out can now edit facebook comments through trending topic twitter. think would hear abo ..,2
yo bitch gucci mane rt bitch stoner,1
dont hurt little faggot,0
cruises recent comments make him bigger douchebag than charlie sheen amp did not even have any tiger blood,1
"rt stop flattering yourself, bitch. only fan have your ceiling.",0
rt man who captured muammar gaddafi wearing yankees cap,2
rt love cripples! look all these fucking cripples! goddamit am people person!,0
zimmerman comin yo life bitch.,0
curse avi coke because fag not put yet,0
rt never catch feelings dumb bitch.,1
"rt royal city kushite kings meroe sudan,near river nile.it seat rulers who occupied egypt",2
rt niggas always wanna talk about how god against gays.. what about pussy eating last night? am not god ag,0
rt naw bitches want attention not respect.. real women want respect,1
right.. around nig..,0
rt ew shes so ugly who hoe,0
ayo jus had mini heart attack behind wheel..north philly n fire crackers do not mix,2
rt when make paper ball into trash can,2
rt when make paper ball into trash can.,2
cannot stand nigga curve his boys some hoes,1
"why did they add your name all ghetto like that? looks like they used label maker, lol!",2
"wib plays next fri 51614at silverdome ballroom21 neillsville,wi charlie parr amp hobo nephews uncle frank! tickets 15",2
"sitting deck, enjoying , watchingsmelling neighbors burn trash.",2
do think all rice fags mcdonalds?,0
"just said rt tl gotta chill this pretty face challenge foolishness, yall hoes agg",0
who ready nigger spam?,1
1100 semievolved monkey desperately searching validation meaning life. bbqd would ok mango salsa.,2
this so badly hahahah omg yall some pussies,1
niggas they feelings when they find out their hoe fuckin another nigga,0
shut up chink.!!,0
poor whitey,0
can get job naacp. ag. hear they like diversity tolerance. long am not cracker,0
interested. just wanted see better pic soles,2
. try visiting night real spook!,2
really tempted let out redneck side drink lot beer sing some country karaoke..,2
all bad bitches out there go have some fun,1
hi charlie,2
perfect gift jihadi your shopping list,2
rt track girls have best pussy!! bethunecookman,1
so why fuck still talking shit. acting like pussy ass nigga,0
ha ha ha no good fat dyke,0
rt your bf broke bitch!,1
"hey! am gonna get some sort bird tattooed body, accompanied anchorrope situation. no ones doing right now, right?",2
this niggah know wassup,0
like bitches bad wit lil attitude,1
nigger hello?,1
"michael sam being cut further proves fags do not belong football , heterosexual sport heterosexuals.",0
rt know shes dyke when she asks mens golf clubs,0
rt kanye west costume not mock race. girl hate do this but kanye human not costume but,2
"if temple beats rutgers today, happy clam.",2
so jealous parents bryce gone rednecks paychecks weekend shouldve gone,1
rt people like bae who real quick like bitch do not play cut,1
looks like pretty dyke,0
"jihadi streams rutba, anbar province,",2
also had dream went fob show fob rude getting badly hit some creep,2
wonder if girl gave head 24 boys drink magaluf twitter she probly sends nudes fags,1
whipped,2
"rt sonia never criticises . kejriwal, who trashes every other leader, never criticises sonia. touching.",2
haha imma catch ebola trynna keep myself warm lol eww bitch well stay far away,1
eagles fucking trash,1
niggas they feelings when they find out their hoe fuckin another nigga,0
ever leave around yo bitch ima get her stoned,1
rt can no longer run business n america unless deemed acceptable 1 political group retards known democr,0
haha private industry birthday needed all who have celebrated our bday past month cannot wait ours! see nigs lol,1
nip im tryna buy copy !! but your website down.. let know something!,2
white boy talmbout ight see tomorrow school nigger,0
now am gook boy shawty,2
unbelievable there americans who refused kill okies. means all americans weak willed trash.,0
thank based pee slit,2
look yall bitches only hmu when ya wifi bitches,1
not even real word! must have hit blunt started making up shit your nigger ass lol,0
fuck outta here faggot would not even fair,0
rt fox says cunt.,0
fuck ass redskin corners,0
just chasing os round here. am not chasing hoes round here .,1
"just spoke w legend, mentor charlie ericksen. great catch up w those who helped open doors latino journos",2
not scanger,2
sorry fo da rant. make mad ashamed colored. wish white so yall would like,0
this bitch please face,1
fucking slutty beaner,0
rt monkey see monkey do hoes,1
hate female got mentality niggah .,1
this music trash,2
she some real shit n stay some chill shit .. besides all niccas only one can chill wit!,1
"rt can kids say much when their parents pay everything? rt if paying every bill, cannot complain abo",2
yea..what did do maidana? made him greedy faggot loser. atleast broner black..,0
rt what fuck this disgusting nigger movie captain phillips doing red carpet oscars what fuc,0
fucking walk off bronx!!,1
rt rt tight pants loud colors!! look like fag!,0
"why does this faggot front have get two dozen doughnuts right now, get fuck",0
whoever made these brownies cookies belongs heaven,2
bitches gonna make rain,1
"man bitch am not gonna do damn thang, if u do not like what got say then unfollow",0
rt since yungin bitch been nat nigga,1
rt bitch got red cootchee rover shit,1
rt feel like most people want commit cut off all your hoes so they can relax start being complacent,1
"rt if bitch think am worried about her , bitch overthinking",1
"life aint shit but bitches money, passed weed like studied",1
rt waiting take ny get nips pierced,2
am so dead why hoe idk just felt like flaming lol,1
highh watching dawn planet apes,2
trash because noneuropeans allowed live there.,0
like yankees toinight 107,2
bucs 2 great uniforms ruined them both trash smh,2
rt sure do have pretty face cripple,2
cracker jack shut fuck up,0
like how niggas try come im like do then bitch they dont do shit. pussies,0
eda!! 2 queers aa! lol,0
"l voted supported u u pulled rug out under us, nation worse, cuz were not your circle were trash.",2
shut up stupid bitch,0
"lifestyles raw dog, one magnum put dickhead hole, cumin out pussy lips",1
go get left hot car die bitch,0
black? your name looks hungarian. marry hunky?,2
try keep all bitches lay away same way feel,1
rt do not watch beta watch your bitch nigga!,0
rt stick his side do not give his pussy up . .,1
make llama your bitch,1
rt hoe starleasha heard she give uh nigga good ass education lmao,1
hoe w chanel backpack.. please..,1
jihadi patron hajjaj alajmi arrested kuwait airport,2
"allegations, were u bedroom? did u see it? words naive amp blind bitch. know ur husband cheated u. ramona dumb!!",1
am only person feels disrespected bird poop suddenly dropping your front windoweww,2
faggot,1
lil stupid ass bitch,1
"rt rick scott beating win number 30 counties, charlie crist 13.",2
rt if date u do not even gotta worry bout talking other hoes cus am not got any,1
stay warm,2
guest. want bird think,2
sonoma county cannot handle gutto style straight up north bay pussies forever,1
every spic cop raped thought about raping white woman. why those halfbreeds get jobs pigs.,0
wow redskins do not want this,2
johnny rebel quit your bitchin nigger!,0
rt here come wiggas soft tweets..,2
this retarded,0
rt if obama id call press conference amp slit joe bidens neck live tv just 2 show these crackers mean business,0
"bros before hoes, not bros over your girlfriend..",1
wacko birds still tweeting,2
think about fact dinosaurs evolved into birds every time eat chicken. dinosaurs delicious.,2
should hang out ovenjew. have lot common. people waste time nigs. jews r r problem.,0
waiting this wetback sycksyllables,0
lame ass nigga still cuffin these hoes bitch got bitch er,0
think if girlfriend were get locked up shed first one raped.really bitchreally swerve,1
rt white trash warfare pt 3,0
lmao madonnas music sucks? yeah fucking stupid if think gaga better. retard,0
leftisthomosexual war church kicked into high gear infiltration priesthood boyraping fags..,0
"if kill all cops cracker babies, what next?? black states, white states, latino states? not moving backwards?",0
you.. asian? black? hawaiian? gay? retarded? drunk?,0
"hate when people tell have many tattoos, they make look ugly. like bitch fuck",0
rt bae go text your hoes,1
"pop nigguh, sound like crisco",0
man arrested after 40 opened nip bottles vodka found car,2
just watched scene zero dark thirty where they pop osamas bitch ass,0
wish coulda said more tonight. good seeing fag.,0
whoo? chelsey? fuck her lol. she juss bitch,0
red neck ice bucket challenge must sip.,2
met this bitch online. call her ebae,1
freeze bitch,1
rt do not support ya idiot. if am teabagger being teabagged.,0
wasnt great either rt equalizer trash denzel officially washed bruhneither flight,2
"rt yankees draft room, they had huge picture greg campbell message, this makeup looking for.",2
fag.,0
hate hoes.,0
rt if claim macklemore your favorite rapper am also assuming watch wnba your free time faggot,0
happy birthday faggot.,0
ok chill love bird lol,2
"even though lil waynes music turned into trash, no ceilings am not human being always favorites.",2
marca got so many hoes she confused what do,1
shut up fag,0
def got few shades darker cutting mama grass. there goes yellow frame lol,2
rt charlie sheen slams rihanna rejecting his fiancee youre rude idiot bad wig,2
"..everytime come kitchen kitchen, goddamn refrigerator. eatin up all pussy",1
"am not weird, just faggot",0
rt kobe they shoot piece paper into trash,2
some hoe shit,1
rt us dykes get more play than most niggas! famu,1
rt lebron your still bitch suck nigger hope die,0
rt do not like weather right now scaring lol why yellow?,2
"so terms like honkey, cracker, peckerwood stereotypes white people fucking their kids sisters not racist? sweet!",0
tiny out here looking like albino red nose pitbull dope boys trap house.,2
"pollos last dos pollos estaban dando vueltas en una pollera mientras los estaban cocinando last, cuando..",2
rt there nothing wrong ariana grande.. just cause she do not look like hoe.. yall gotta problem.,1
"everyone tells exact same thing but not listen, coon",0
african goshawk accipiter tachiro species bird prey accipitridae family. fou,2
bitch ass jorge haha am not work nigga?,1
clowney bitch nigga get his ass off team,1
doctor tonight such miserable cunt. even nurse pissed off. shes been here since 7pm not come see once.,0
every good story starts off so this bitch.. lol,1
your what wrong white race fuckin coon slaying piece poop please die alone,0
rt smh rt henny too rt beer trash af end story,2
rt relationship does not stop hoe being hoe.,1
rt why ya niggas gassin these wack ass bitches ?,0
leo get fuck off vine fag,0
"bro everybody ho then, fuck it, your favorite color mango red ho, charge your phone all way 100 ho, smh",0
smh hate hoe,0
"rt attack, harass, threaten, mock bully any woman minority who dared not fall line our progressive",2
amp 4th guinea pig haunt,1
"81614 mo let kill some crackers, kill their babies new black panthers hijack his presser",0
do work today niglet?,0
goodbye x young dolph featuring trinidad james amp shy glizzy,2
"rt nosey ass hoes , hate em. always finding shit but cannot find man date em",1
brah wiz cheated she had hair like dyke.. uh.. duh?,2
come nd get chicken niggers love dat chicken popeyes,0
eye witness joel faggot,0
rt if bitch fuckin she jus thot! mean am tryna take shit next level here.,1
can give some clothes so can look like cute dyke,0
little fucking gook who smells like shit. than thinking they motherfuckin boss. fuck!,0
brownies brownie love this movie.,2
rt get fucked racist inbred hillbilly fuck,0
"who john hanson? black man, moor, john hanson first president united states! george..",2
rt remember yellow badge nazis used? israel making muslim women carry yellow badge order pray alaqsa. h,0
rt oreo 6s,2
"hate niggers, hate faggots hate spicskk rally",0
already more yellows than last 2 years combined,0
"dear von miller, karmas bitch.",1
rt oreo cake,2
there always one..they never realize they worst unsolicited unaffiliated trash talker,2
"rt fox news mocks victim ray rice elevator assault think message is, take stairs ht",2
ihate nosie bitch,1
facetime nigger,1
pennsylvania white trash so all pennsylvanians.,0
rt fuuck jalens slow bitch!,0
faggot needs grow up,0
rt bdubs packed beaners,0
oh well. fag anyways.,0
said bitch boy,1
? okay. am only going say once. comb yer beards.,2
rt thick red bones style nah?,2
this niggah better remember bring his sperrys,1
"sweet baby birds, crack up. houston foodlovers",2
fight fucking obese niglet,0
go back lego club faggot,0
just got new fish albino named him shaquita bahaha,2
out! brooklyn bound wit this money. feelin like yung jeezy this bitch! lmaoo,1
rt proudly racist. u dumb nigger,0
little fag. least fuck woman have kids. plus work support them. hipster homo,0
nicca drake gear game all bad lol,2
"bro everybody ho then, fuck it, your favorite color mango red ho, charge your phone all way 100 ho, smh",0
rt ghetto ass mofos,2
kanye west faggot,0
nigga fool feel like eatin nd beatin pussy up,1
school schoo scho sch sc s st sta stay stay h stay ho stay hom stay home,2
rt idea diet eating regular oreos instead double stuft takin off half cookie still dip 2 ..,2
"got mob ties all hoes gangstaz toomob wives bad bitches,but do not spend alotta",1
nigor??,2
if nigga phone broke best believe only gon memorize his main bitch number bitch cash him out number,1
"rt black girls have never been into me. guess cause do not call them hoes, sell drugs shoot niggas o well.",0
2 adult human skulls found trash,2
havent evolved human being. typical meathead redneck. pity you. dont know what freedom about..,2
rt loyal pussy .,1
all these rednecks none them can keep fire lit,0
no more chunky nugs does not even hook up like that.,1
"rt bitches about start new year, new bullshit.. cannot undo numbers pussy thoo",1
happy birthday this coon ass nigga buckcity,0
republican teabaggers hate this but screw em.,2
not even real word! must have hit blunt started making up shit your nigger ass lol,0
first best drunkest yankees game ever,2
"good read gt rt why your cat thinks huge, unpredictable ape",2
rt david charlie brown,2
stop retweeting heather im tired seeing bitch tl,1
togetheryu gt job hoe.,1
rt this girl comes into class fried chicken pulls hot sauce out her purse mean come how ghetto amp stereotypi,0
"now on, call all radical muslims niggers! very fitting, racist! am racist against anyone who hates america!",0
hate niccas! lol,0
rt take bitch houstons she better not speak another nigga while meal still her digestive system,1
no bitch lol am not about life anymore,1
rt just call nigger cause what u really want say end day,1
mean bro fucking faggot,0
ga charlie,2
"not sure why would care about nelson mandela, being one them if know what mean.",2
ur so anal stfu once u bitch,1
big night,2
".we got 1, except eric holder gave them 2 beaners 2 kill americans! guess race blind!",0
people fucking retarded lol,0
nobody gives trophy cause am old colored,2
rt fuck bitches..get money,1
lmao why ur dad raised u bitch made nigga,0
this girl retarded,0
"rt alls niggers wanna do fuck, tweet, drink pineapple soda all day",0
fuck ass redskin corners,0
